shoe_name,price,category,review,star,product_code,comfort,size_count,color_count,color 1,color 2,color 3,color 4,color 5
Nike Juniper Trail 2,,Men,78,4.3,DM0822-100,,0,5,Light Photo Blue/Plum Eclipse/Vivid Sulphur/Track Red,Black/Deep Jungle/Purple Ink/Night Maroon,White/Vivid Sulphur/Khaki/Black,Black/White,Sand Drift/Mineral Teal/Football Grey/Obsidian
AJKO 1,,Men,21,4.9,DO5047-411,,0,2,Bleached Aqua/White,Black/White/Field Purple,,,
AJKO 1,₹ 12 795.00,Men,21,4.9,DO5047-005,,0,2,Bleached Aqua/White,Black/White/Field Purple,,,
Air Jordan 6 'Aqua',₹ 18 395.00,Men,342,4.8,CT8529-004,,0,2,Black/Aquatone/Bright Concord,Varsity Red/Black,,,
Air Jordan 6 Retro,,Men,342,4.8,CT8529-600,,0,2,Black/Aquatone/Bright Concord,Varsity Red/Black,,,
Nike Air Max Cirro,,Men,35,4.4,DC1460-004,,0,5,Black/Metallic Silver/White/Black,Obsidian/Smoke Grey/Ashen Slate,Light Bone/Limestone,Black/Black/Black,Black/University Red/University Red
Nike Air Max Cirro,₹ 3 695.00,Men,35,4.4,DC1460-400,,0,5,Black/Metallic Silver/White/Black,Obsidian/Smoke Grey/Ashen Slate,Light Bone/Limestone,Black/Black/Black,Black/University Red/University Red
Nike Air Max Cirro,₹ 3 695.00,Men,35,4.4,DC1460-006,,0,5,Black/Metallic Silver/White/Black,Obsidian/Smoke Grey/Ashen Slate,Light Bone/Limestone,Black/Black/Black,Black/University Red/University Red
Nike Air Max Cirro,₹ 3 695.00,Men,35,4.4,DC1460-007,,0,5,Black/Metallic Silver/White/Black,Obsidian/Smoke Grey/Ashen Slate,Light Bone/Limestone,Black/Black/Black,Black/University Red/University Red
Nike Air Max Cirro,,Men,35,4.4,DC1460-002,,0,5,Black/Metallic Silver/White/Black,Obsidian/Smoke Grey/Ashen Slate,Light Bone/Limestone,Black/Black/Black,Black/University Red/University Red
Nike Renew Run 4,,Men,3,4.7,DR2677-002,,0,4,Black/Anthracite/White,Black/Black/Off-Noir,Ocean Bliss/Green Abyss/Football Grey/Noise Aqua,White/Light Silver/Faded Spruce/Black,
Nike Renew Run 4,₹ 7 495.00,Men,3,4.7,DR2677-001,,0,4,Black/Anthracite/White,Black/Black/Off-Noir,Ocean Bliss/Green Abyss/Football Grey/Noise Aqua,White/Light Silver/Faded Spruce/Black,
Nike Renew Run 4,,Men,3,4.7,DR2677-400,,0,4,Black/Anthracite/White,Black/Black/Off-Noir,Ocean Bliss/Green Abyss/Football Grey/Noise Aqua,White/Light Silver/Faded Spruce/Black,
Nike Renew Run 4,,Men,3,4.7,DR2677-100,,0,4,Black/Anthracite/White,Black/Black/Off-Noir,Ocean Bliss/Green Abyss/Football Grey/Noise Aqua,White/Light Silver/Faded Spruce/Black,
Nike Air Max Pulse Roam,₹ 14 995.00,Men,21,4.5,DZ3544-200,,0,2,Stone/Light Bone/Summit White/Stone,Dark Smoke Grey/Iron Grey/Smoke Grey/Dark Smoke Grey,,,
Nike Air Max Pulse Roam,₹ 14 995.00,Men,21,4.5,DZ3544-001,,0,2,Stone/Light Bone/Summit White/Stone,Dark Smoke Grey/Iron Grey/Smoke Grey/Dark Smoke Grey,,,
Tatum 1 'Home Team' PF,₹ 10 795.00,Unisex,0,0.0,DZ3330-002,,0,3,Medium Grey/Gunsmoke/White,Black/Anthracite/Green Strike,White/Black/Green Strike/Total Orange,,
Tatum 1 'Home Team' PF,₹ 10 795.00,Unisex,0,0.0,DZ3330-003,,0,3,Medium Grey/Gunsmoke/White,Black/Anthracite/Green Strike,White/Black/Green Strike/Total Orange,,
Tatum 1 'Home Team' PF,₹ 10 795.00,Unisex,0,0.0,DZ3330-108,,0,3,Medium Grey/Gunsmoke/White,Black/Anthracite/Green Strike,White/Black/Green Strike/Total Orange,,
Nike Quest 3 Shield,,Men,5,3.8,CQ8894-001,,0,2,Black/Dark Smoke Grey/White/Metallic Silver,Black/Obsidian Mist/Poison Green/Black,,,
Nike Quest 3 Shield,,Men,5,3.8,CQ8894-010,,0,2,Black/Dark Smoke Grey/White/Metallic Silver,Black/Obsidian Mist/Poison Green/Black,,,
Nike Air Force 1 '07,₹ 9 695.00,Men,158,4.8,DV0788-001,,0,3,Black/Black/White,White/White/University Blue,Black/Black/White,,
Nike Air Force 1 '07,,Men,158,4.8,DV0788-101,,0,3,Black/Black/White,White/White/University Blue,Black/Black/White,,
Nike Air Force 1 '07,₹ 9 695.00,Men,158,4.8,DV0788-002,,0,3,Black/Black/White,White/White/University Blue,Black/Black/White,,
Jordan Stay Loyal 3,₹ 10 295.00,Men,21,4.1,FB1396-001,,0,2,Black/Anthracite/Cool Grey,Black/White/Wolf Grey/Varsity Red,,,
Jordan Stay Loyal 3,₹ 10 295.00,Men,21,4.1,FB1396-006,,0,2,Black/Anthracite/Cool Grey,Black/White/Wolf Grey/Varsity Red,,,
Nike Defy All Day,₹ 4 995.00,Men,64,4.4,DJ1196-002,,0,4,Black/White/Black,Black/Black/Black,White/University Red/Black,White/Metallic Silver/Midnight Navy,
Nike Defy All Day,₹ 4 995.00,Men,64,4.4,DJ1196-001,,0,4,Black/White/Black,Black/Black/Black,White/University Red/Black,White/Metallic Silver/Midnight Navy,
Nike Defy All Day,₹ 4 995.00,Men,64,4.4,DJ1196-101,,0,4,Black/White/Black,Black/Black/Black,White/University Red/Black,White/Metallic Silver/Midnight Navy,
Nike Defy All Day,₹ 4 995.00,Men,64,4.4,DJ1196-100,,0,4,Black/White/Black,Black/Black/Black,White/University Red/Black,White/Metallic Silver/Midnight Navy,
Jordan Max Aura 5,₹ 11 895.00,Men,23,4.8,DZ4353-101,[],0,4,White/Varsity Red/Wolf Grey/Black,Black/Black/Anthracite,Black/Bright Mandarin/Sail/Sky J Light Olive,Cement Grey/Topaz Gold/White/Anthracite,
Jordan Max Aura 5,₹ 11 895.00,Men,23,4.8,DZ4353-001,[],0,4,White/Varsity Red/Wolf Grey/Black,Black/Black/Anthracite,Black/Bright Mandarin/Sail/Sky J Light Olive,Cement Grey/Topaz Gold/White/Anthracite,
Jordan Max Aura 5,₹ 11 895.00,Men,23,4.8,DZ4353-003,[],0,4,White/Varsity Red/Wolf Grey/Black,Black/Black/Anthracite,Black/Bright Mandarin/Sail/Sky J Light Olive,Cement Grey/Topaz Gold/White/Anthracite,
Jordan Max Aura 5,₹ 11 895.00,Men,23,4.8,DZ4353-007,[],0,4,White/Varsity Red/Wolf Grey/Black,Black/Black/Anthracite,Black/Bright Mandarin/Sail/Sky J Light Olive,Cement Grey/Topaz Gold/White/Anthracite,
Air Jordan 1 Low SE,₹ 10 295.00,Men,14,4.4,FB9907-102,,0,1,,,,,
Nike Air Force 1 '07,₹ 9 695.00,Men,2,3.5,FQ8077-104,,0,1,,,,,
Nike Air Max Pulse,₹ 13 995.00,Men,0,0.0,FQ8733-010,,0,1,,,,,
Nike Flex Experience Run 11,,Men,60,4.3,DD9284-009,,0,7,Flat Pewter/Gold Suede/White/Metallic Pewter,White/Ashen Slate/Black,University Red/Midnight Navy/Blue Joy/Sea Glass,Football Grey/Black/White/Bright Crimson,Black/White
Nike Flex Experience Run 11,,Men,60,4.3,DD9284-100,,0,7,Flat Pewter/Gold Suede/White/Metallic Pewter,White/Ashen Slate/Black,University Red/Midnight Navy/Blue Joy/Sea Glass,Football Grey/Black/White/Bright Crimson,Black/White
Nike Flex Experience Run 11,₹ 4 995.00,Men,60,4.3,DD9284-601,,0,7,Flat Pewter/Gold Suede/White/Metallic Pewter,White/Ashen Slate/Black,University Red/Midnight Navy/Blue Joy/Sea Glass,Football Grey/Black/White/Bright Crimson,Black/White
Nike Flex Experience Run 11,,Men,60,4.3,DD9284-008,,0,7,Flat Pewter/Gold Suede/White/Metallic Pewter,White/Ashen Slate/Black,University Red/Midnight Navy/Blue Joy/Sea Glass,Football Grey/Black/White/Bright Crimson,Black/White
Nike Flex Experience Run 11,₹ 4 995.00,Men,60,4.3,DD9284-001,,0,7,Flat Pewter/Gold Suede/White/Metallic Pewter,White/Ashen Slate/Black,University Red/Midnight Navy/Blue Joy/Sea Glass,Football Grey/Black/White/Bright Crimson,Black/White
Nike Flex Experience Run 11,₹ 4 995.00,Men,60,4.3,DD9284-301,,0,7,Flat Pewter/Gold Suede/White/Metallic Pewter,White/Ashen Slate/Black,University Red/Midnight Navy/Blue Joy/Sea Glass,Football Grey/Black/White/Bright Crimson,Black/White
Nike Flex Experience Run 11,,Men,60,4.3,DD9284-010,,0,7,Flat Pewter/Gold Suede/White/Metallic Pewter,White/Ashen Slate/Black,University Red/Midnight Navy/Blue Joy/Sea Glass,Football Grey/Black/White/Bright Crimson,Black/White
Nike Air Max 1,₹ 12 795.00,Men,92,4.8,FD9082-103,,0,5,White/Photon Dust/Black/University Blue,White/Black/Pure Platinum/University Gold,White/Pure Platinum/Medium Olive/Black,White/Deep Royal Blue/Pure Platinum/Black,White/Pure Platinum/Black/University Red
Nike Air Max 1,₹ 12 795.00,Men,92,4.8,FD9082-104,,0,5,White/Photon Dust/Black/University Blue,White/Black/Pure Platinum/University Gold,White/Pure Platinum/Medium Olive/Black,White/Deep Royal Blue/Pure Platinum/Black,White/Pure Platinum/Black/University Red
Nike Air Max 1,₹ 12 795.00,Men,92,4.8,FD9082-102,,0,5,White/Photon Dust/Black/University Blue,White/Black/Pure Platinum/University Gold,White/Pure Platinum/Medium Olive/Black,White/Deep Royal Blue/Pure Platinum/Black,White/Pure Platinum/Black/University Red
Nike Air Max 1,₹ 12 795.00,Men,92,4.8,FD9082-100,,0,5,White/Photon Dust/Black/University Blue,White/Black/Pure Platinum/University Gold,White/Pure Platinum/Medium Olive/Black,White/Deep Royal Blue/Pure Platinum/Black,White/Pure Platinum/Black/University Red
Nike Air Max 1,₹ 12 795.00,Men,92,4.8,FD9082-101,,0,5,White/Photon Dust/Black/University Blue,White/Black/Pure Platinum/University Gold,White/Pure Platinum/Medium Olive/Black,White/Deep Royal Blue/Pure Platinum/Black,White/Pure Platinum/Black/University Red
Nike Air Force 1 '07,₹ 11 895.00,Men,5,4.0,FV0383-100,,0,1,,,,,
Nike Air Force 1 '07,₹ 9 695.00,Men,0,0.0,FZ0627-010,,0,1,,,,,
Nike Alphafly 2,₹ 22 795.00,Men,146,4.3,DN3555-001,[],0,3,Black/Sail/Metallic Gold Grain,White/Clear Jade/Light Ultramarine/Deep Jungle,Hyper Pink/Laser Orange/White/Black,,
Nike Alphafly 2,₹ 22 795.00,Men,146,4.3,DN3555-100,[],0,3,Black/Sail/Metallic Gold Grain,White/Clear Jade/Light Ultramarine/Deep Jungle,Hyper Pink/Laser Orange/White/Black,,
Nike Alphafly 2,₹ 22 795.00,Men,146,4.3,DN3555-600,[],0,3,Black/Sail/Metallic Gold Grain,White/Clear Jade/Light Ultramarine/Deep Jungle,Hyper Pink/Laser Orange/White/Black,,
Nike Pegasus 38,,Men,394,4.6,CW7356-400,,0,1,,,,,
Air Jordan 1 Mid,₹ 11 495.00,Unisex,1000,4.8,554724-093,,0,3,Black/Black/Black,White/White/White,Black/White/Dark Iris,,
Air Jordan 1 Mid,₹ 11 495.00,Unisex,1000,4.8,554724-136,,0,3,Black/Black/Black,White/White/White,Black/White/Dark Iris,,
Air Jordan 1 Mid,₹ 10 295.00,Unisex,1000,4.8,554724-095,,0,3,Black/Black/Black,White/White/White,Black/White/Dark Iris,,
Nike Offcourt Adjust,,Men,19,4.8,DQ9624-100,,0,4,Summit White/Black/Summit White,University Red/Black/White,Light Silver/Team Gold/Light Bone/Sail,Black/Black/White,
Nike Offcourt Adjust,₹ 3 195.00,Men,19,4.8,DQ9624-600,,0,4,Summit White/Black/Summit White,University Red/Black/White,Light Silver/Team Gold/Light Bone/Sail,Black/Black/White,
Nike Offcourt Adjust,,Men,19,4.8,DQ9624-003,,0,4,Summit White/Black/Summit White,University Red/Black/White,Light Silver/Team Gold/Light Bone/Sail,Black/Black/White,
Nike Offcourt Adjust,₹ 3 195.00,Men,19,4.8,DQ9624-001,,0,4,Summit White/Black/Summit White,University Red/Black/White,Light Silver/Team Gold/Light Bone/Sail,Black/Black/White,
Nike Juniper Trail 2,,Men,78,4.3,DM0822-402,,0,5,Light Photo Blue/Plum Eclipse/Vivid Sulphur/Track Red,Black/Deep Jungle/Purple Ink/Night Maroon,White/Vivid Sulphur/Khaki/Black,Black/White,Sand Drift/Mineral Teal/Football Grey/Obsidian
Nike Juniper Trail 2,₹ 7 095.00,Men,78,4.3,DM0822-006,,0,5,Light Photo Blue/Plum Eclipse/Vivid Sulphur/Track Red,Black/Deep Jungle/Purple Ink/Night Maroon,White/Vivid Sulphur/Khaki/Black,Black/White,Sand Drift/Mineral Teal/Football Grey/Obsidian
Nike Juniper Trail 2,₹ 7 095.00,Men,78,4.3,DM0822-101,,0,5,Light Photo Blue/Plum Eclipse/Vivid Sulphur/Track Red,Black/Deep Jungle/Purple Ink/Night Maroon,White/Vivid Sulphur/Khaki/Black,Black/White,Sand Drift/Mineral Teal/Football Grey/Obsidian
Nike Juniper Trail 2,₹ 7 095.00,Men,78,4.3,DM0822-001,,0,5,Light Photo Blue/Plum Eclipse/Vivid Sulphur/Track Red,Black/Deep Jungle/Purple Ink/Night Maroon,White/Vivid Sulphur/Khaki/Black,Black/White,Sand Drift/Mineral Teal/Football Grey/Obsidian
Nike Juniper Trail 2,,Men,78,4.3,DM0822-100,,0,5,Light Photo Blue/Plum Eclipse/Vivid Sulphur/Track Red,Black/Deep Jungle/Purple Ink/Night Maroon,White/Vivid Sulphur/Khaki/Black,Black/White,Sand Drift/Mineral Teal/Football Grey/Obsidian
AJKO 1,,Men,21,4.9,DO5047-411,,0,2,Bleached Aqua/White,Black/White/Field Purple,,,
AJKO 1,₹ 12 795.00,Men,21,4.9,DO5047-005,,0,2,Bleached Aqua/White,Black/White/Field Purple,,,
Air Jordan 6 'Aqua',₹ 18 395.00,Men,342,4.8,CT8529-004,,0,2,Black/Aquatone/Bright Concord,Varsity Red/Black,,,
Air Jordan 6 Retro,,Men,342,4.8,CT8529-600,,0,2,Black/Aquatone/Bright Concord,Varsity Red/Black,,,
Nike Air Max Cirro,,Men,35,4.4,DC1460-004,,0,5,Black/Metallic Silver/White/Black,Obsidian/Smoke Grey/Ashen Slate,Light Bone/Limestone,Black/Black/Black,Black/University Red/University Red
Nike Air Max Cirro,₹ 3 695.00,Men,35,4.4,DC1460-400,,0,5,Black/Metallic Silver/White/Black,Obsidian/Smoke Grey/Ashen Slate,Light Bone/Limestone,Black/Black/Black,Black/University Red/University Red
Nike Air Max Cirro,₹ 3 695.00,Men,35,4.4,DC1460-006,,0,5,Black/Metallic Silver/White/Black,Obsidian/Smoke Grey/Ashen Slate,Light Bone/Limestone,Black/Black/Black,Black/University Red/University Red
Nike Air Max Cirro,₹ 3 695.00,Men,35,4.4,DC1460-007,,0,5,Black/Metallic Silver/White/Black,Obsidian/Smoke Grey/Ashen Slate,Light Bone/Limestone,Black/Black/Black,Black/University Red/University Red
Nike Air Max Cirro,,Men,35,4.4,DC1460-002,,0,5,Black/Metallic Silver/White/Black,Obsidian/Smoke Grey/Ashen Slate,Light Bone/Limestone,Black/Black/Black,Black/University Red/University Red
Nike Renew Run 4,,Men,3,4.7,DR2677-002,,0,4,Black/Anthracite/White,Black/Black/Off-Noir,Ocean Bliss/Green Abyss/Football Grey/Noise Aqua,White/Light Silver/Faded Spruce/Black,
Nike Renew Run 4,₹ 7 495.00,Men,3,4.7,DR2677-001,,0,4,Black/Anthracite/White,Black/Black/Off-Noir,Ocean Bliss/Green Abyss/Football Grey/Noise Aqua,White/Light Silver/Faded Spruce/Black,
Nike Renew Run 4,,Men,3,4.7,DR2677-400,,0,4,Black/Anthracite/White,Black/Black/Off-Noir,Ocean Bliss/Green Abyss/Football Grey/Noise Aqua,White/Light Silver/Faded Spruce/Black,
Nike Renew Run 4,,Men,3,4.7,DR2677-100,,0,4,Black/Anthracite/White,Black/Black/Off-Noir,Ocean Bliss/Green Abyss/Football Grey/Noise Aqua,White/Light Silver/Faded Spruce/Black,
Nike Air Max Pulse Roam,₹ 14 995.00,Men,21,4.5,DZ3544-200,,0,2,Stone/Light Bone/Summit White/Stone,Dark Smoke Grey/Iron Grey/Smoke Grey/Dark Smoke Grey,,,
Nike Air Max Pulse Roam,₹ 14 995.00,Men,21,4.5,DZ3544-001,,0,2,Stone/Light Bone/Summit White/Stone,Dark Smoke Grey/Iron Grey/Smoke Grey/Dark Smoke Grey,,,
Tatum 1 'Home Team' PF,₹ 10 795.00,Unisex,0,0.0,DZ3330-002,,0,3,Medium Grey/Gunsmoke/White,Black/Anthracite/Green Strike,White/Black/Green Strike/Total Orange,,
Tatum 1 'Home Team' PF,₹ 10 795.00,Unisex,0,0.0,DZ3330-003,,0,3,Medium Grey/Gunsmoke/White,Black/Anthracite/Green Strike,White/Black/Green Strike/Total Orange,,
Tatum 1 'Home Team' PF,₹ 10 795.00,Unisex,0,0.0,DZ3330-108,,0,3,Medium Grey/Gunsmoke/White,Black/Anthracite/Green Strike,White/Black/Green Strike/Total Orange,,
Nike Quest 3 Shield,,Men,5,3.8,CQ8894-001,,0,2,Black/Dark Smoke Grey/White/Metallic Silver,Black/Obsidian Mist/Poison Green/Black,,,
Nike Quest 3 Shield,,Men,5,3.8,CQ8894-010,,0,2,Black/Dark Smoke Grey/White/Metallic Silver,Black/Obsidian Mist/Poison Green/Black,,,
Air Jordan 1 Mid SE,₹ 12 295.00,Men,5,5.0,FJ4923-008,,0,1,,,,,
Nike Quest 5,₹ 6 295.00,Men,29,3.7,DD0204-001,,0,4,Black/Smoke Grey/Dark Smoke Grey/White,Black/Smoke Grey/University Red,Sea Glass/University Red/White/Blue Joy,Black/Racer Blue/White/High Voltage,
Nike Quest 5,₹ 6 295.00,Men,29,3.7,DD0204-004,,0,4,Black/Smoke Grey/Dark Smoke Grey/White,Black/Smoke Grey/University Red,Sea Glass/University Red/White/Blue Joy,Black/Racer Blue/White/High Voltage,
Nike Quest 5,₹ 6 295.00,Men,29,3.7,DD0204-009,,0,4,Black/Smoke Grey/Dark Smoke Grey/White,Black/Smoke Grey/University Red,Sea Glass/University Red/White/Blue Joy,Black/Racer Blue/White/High Voltage,
Nike Quest 5,,Men,29,3.7,DD0204-008,,0,4,Black/Smoke Grey/Dark Smoke Grey/White,Black/Smoke Grey/University Red,Sea Glass/University Red/White/Blue Joy,Black/Racer Blue/White/High Voltage,
Nike Dunk High Retro SE,₹ 11 495.00,Men,0,0.0,FB8892-200,,0,1,,,,,
Nike Pegasus 40,,Men,253,4.6,DV3853-100,,0,8,White/Light Orewood Brown/Phantom/Obsidian,Black/Burgundy Crush/Geode Teal/Purple Ink,Wolf Grey/Black/White/Volt,University Red/Midnight Navy/Blue Joy/Sea Glass,White/Black/Photon Dust/Wolf Grey
Nike Pegasus 40,₹ 11 895.00,Men,253,4.6,DV3853-005,,0,8,White/Light Orewood Brown/Phantom/Obsidian,Black/Burgundy Crush/Geode Teal/Purple Ink,Wolf Grey/Black/White/Volt,University Red/Midnight Navy/Blue Joy/Sea Glass,White/Black/Photon Dust/Wolf Grey
Nike Pegasus 40,₹ 11 895.00,Men,253,4.6,DV3853-004,,0,8,White/Light Orewood Brown/Phantom/Obsidian,Black/Burgundy Crush/Geode Teal/Purple Ink,Wolf Grey/Black/White/Volt,University Red/Midnight Navy/Blue Joy/Sea Glass,White/Black/Photon Dust/Wolf Grey
Nike Pegasus 40,₹ 11 895.00,Men,253,4.6,DV3853-600,,0,8,White/Light Orewood Brown/Phantom/Obsidian,Black/Burgundy Crush/Geode Teal/Purple Ink,Wolf Grey/Black/White/Volt,University Red/Midnight Navy/Blue Joy/Sea Glass,White/Black/Photon Dust/Wolf Grey
Nike Pegasus 40,₹ 11 895.00,Men,253,4.6,DV3853-102,,0,8,White/Light Orewood Brown/Phantom/Obsidian,Black/Burgundy Crush/Geode Teal/Purple Ink,Wolf Grey/Black/White/Volt,University Red/Midnight Navy/Blue Joy/Sea Glass,White/Black/Photon Dust/Wolf Grey
Nike Pegasus 40,₹ 11 895.00,Men,253,4.6,DV3853-002,,0,8,White/Light Orewood Brown/Phantom/Obsidian,Black/Burgundy Crush/Geode Teal/Purple Ink,Wolf Grey/Black/White/Volt,University Red/Midnight Navy/Blue Joy/Sea Glass,White/Black/Photon Dust/Wolf Grey
Nike Pegasus 40,₹ 11 895.00,Men,253,4.6,DV3853-001,,0,8,White/Light Orewood Brown/Phantom/Obsidian,Black/Burgundy Crush/Geode Teal/Purple Ink,Wolf Grey/Black/White/Volt,University Red/Midnight Navy/Blue Joy/Sea Glass,White/Black/Photon Dust/Wolf Grey
Nike Pegasus 40,,Men,253,4.6,DV3853-101,,0,8,White/Light Orewood Brown/Phantom/Obsidian,Black/Burgundy Crush/Geode Teal/Purple Ink,Wolf Grey/Black/White/Volt,University Red/Midnight Navy/Blue Joy/Sea Glass,White/Black/Photon Dust/Wolf Grey
Air Jordan 1 Mid SE,₹ 12 295.00,Men,25,4.9,DZ4129-102,,0,1,,,,,
Jordan Post,,Men,96,4.4,DX5575-100,[],0,4,White/White,Safety Orange/Safety Orange,Black/Black,University Red/University Red,
Jordan Post,₹ 2 195.00,Men,96,4.4,DX5575-800,[],0,4,White/White,Safety Orange/Safety Orange,Black/Black,University Red/University Red,
